vit_bits,qformer_bits,llm_bits,cider,meteor
3,6,3,0.11409716567162802,0.05571370844826383
4,16,5,1.1320771459391303,0.25679201161968795
7,6,7,1.1472824478973895,0.26222543269310583
6,3,7,1.2340670509539098,0.27246469984190846
8,3,3,0.19237110304789287,0.07797213816882591
3,7,3,0.16175431113752436,0.06298592422790329
16,7,16,1.2288687484304457,0.2696388187846983
2,8,5,0.004736129177439066,0.025769918943793792
2,6,7,0.008061247949443287,0.033015442800733694
7,3,8,1.2001918530465114,0.2688940225081606
8,8,8,1.2613365236063074,0.2762099474468814
4,5,7,1.260374148148236,0.2789393594902043
4,7,6,1.2347910157879871,0.27946761543120324
5,3,3,0.216410938255457,0.0912689859850269
16,2,7,1.0932060088008742,0.2559361027621114
16,8,16,1.2112818124966749,0.273379216643398
6,5,6,1.229260492826878,0.2711009529966307
2,16,16,0.00520422645501855,0.027656848481430622
2,5,4,0.0026203769315841247,0.027342627743090726
2,4,4,0.0034645741619075314,0.023286978572087752
3,7,7,1.1090357313388717,0.2537172067906273
7,8,8,1.212445548303819,0.27600720745355795
7,2,7,1.0480489054757316,0.24739165955533426
6,3,16,1.2087609811790982,0.2725200183102257
8,7,16,1.2167489830125944,0.2707307944762384
4,2,4,0.8575086430691543,0.2158155672518252
6,4,4,0.954757423862689,0.23061112466690062
5,7,6,1.1651901236278697,0.2641765203739215
2,4,16,0.013873429162987862,0.04584512624660437
3,8,4,0.9034303489910207,0.22521947884956064
5,4,6,1.253590668326296,0.2751784174163265
16,2,5,1.0007023744865857,0.24014824616815272
16,3,8,1.205892766775016,0.2687833021476288
4,4,8,1.2268006856484162,0.2740877707595741
7,8,6,1.2164117074784129,0.27290327632568834
6,8,4,0.9888658273595975,0.23184393498307854
5,7,7,1.178306979078529,0.2718966892006794
16,7,4,0.9587373925800132,0.23405933755138786
6,5,16,1.2690602196702392,0.2775787041926977
4,8,16,1.2509424889629197,0.27636309101722734
8,7,4,0.9874202053764954,0.2264319956642847
6,4,5,1.2180539240226957,0.27238124397760366
