config,bit_size,type,VIT_FIRST,VIT_MIDDLE,VIT_LAST,QFORMER_FIRST,QFORMER_MIDDLE,QFORMER_LAST,LLM_FIRST,LLM_MIDDLE,LLM_LAST,METEOR,CIDEr,quantized_size,compression_ratio
485,8,BOTH,1,0,1,1,1,1,0,0,0,0.2767800303155384,1.2708042404198885,103396358144,0.8628604439426248
612,6,MLP,1,1,1,0,1,1,1,1,1,0.2236076762802787,0.9456258451329648,58646963968,0.48941903055075947
734,6,ATTENTION,0,0,0,1,1,1,1,0,1,0.2786443321169212,1.28441429844489,104773566464,0.8743534849329243
1143,4,MLP,1,1,1,1,1,1,1,1,1,0.0,0.0,53940595200,0.45014357136235633
1318,4,BOTH,1,1,0,1,1,1,0,0,0,0.0,0.0,100657458176,0.8400038512663957
227,16,BOTH,0,0,0,0,1,0,0,0,0,0.2785208443350772,1.2852764152502318,119678468096,0.9987374600551175
707,6,ATTENTION,0,0,0,0,1,1,1,1,1,0.2778187109212796,1.280785255786987,97519165440,0.8138142570484294
1100,5,BOTH,1,1,1,1,1,1,1,1,0,0.0142295650838754,0.0006918575872542,47877590144,0.39954674833924175
1044,5,BOTH,1,0,1,0,0,0,1,1,1,0.0329970819864864,0.0075222969741931,34140456704,0.284908000212064
44,16,MLP,0,0,0,0,0,1,1,1,1,0.2785208443350772,1.2852764152502318,92979658752,0.7759312907003009
479,8,BOTH,0,0,1,0,0,0,0,0,0,0.2789881827540577,1.2919026922898935,111953460224,0.934270936847298
795,6,BOTH,1,1,1,1,0,1,0,0,0,0.2412554471244327,1.0373933359750027,93740098304,0.7822772899328505
377,8,ATTENTION,1,0,0,0,0,0,1,1,1,0.2786068423289015,1.2769395096927156,97213362176,0.8112622760611816
76,16,MLP,0,0,0,0,0,0,0,0,1,0.2785208443350772,1.2852764152502318,110600036352,0.9229763811782284
1035,5,BOTH,0,0,1,1,1,1,0,0,0,0.1819880809664886,0.4484459860956842,110203018112,0.9196631954822426
1101,5,BOTH,1,1,1,0,0,0,1,1,0,0.0133280173995888,0.0006057552721909,48643495040,0.4059383568102094
964,5,ATTENTION,1,1,1,1,0,0,1,1,1,0.246622462126641,1.0632478022306595,88560298496,0.7390509670517272
1458,3,MLP,1,1,1,0,0,0,0,0,0,0.0,0.0,100253215616,0.8366303773738595
138,16,ATTENTION,0,0,0,0,0,1,0,0,0,0.2785208443350772,1.2852764152502318,119678468096,0.9987374600551175
19,16,MLP,1,0,1,1,1,1,1,1,1,0.2785271331383665,1.2852207375047249,85779091456,0.7158413145619503
1029,5,BOTH,1,0,0,0,0,0,0,0,0,0.2355513066298634,0.993034758165045,110968923008,0.9260548039532103
808,6,BOTH,0,0,0,1,1,1,0,0,0,0.2786443321169212,1.28441429844489,119092219904,0.9938451177686979
904,5,MLP,0,0,0,1,1,1,1,0,0,0.1540290382350733,0.2427305743117234,105670525952,0.8818387665802367
1368,4,BOTH,1,1,1,0,0,0,1,0,0,0.0,0.0,70236168704,0.5861329431386683
