vit_bits,qformer_bits,llm_bits,METEOR,CIDEr,model_size
2,16,4,0.19727345249098036,0.6727059028707632,22233121024
2,16,5,0.20106423910901167,0.6882361624647443,24750440704
2,16,6,0.20860240485027726,0.7246993426668064,27267760384
2,16,8,0.21057204891397074,0.734900136126526,32302399744
2,16,16,0.21098317418817375,0.7357684637386981,52440957184
3,2,2,0.03185703693757794,0.0022093327972838544,16711758208
3,2,3,0.20029049990462205,0.7266863329828995,19229077888
3,2,4,0.2484356580168853,1.0235981557690623,21746397568
3,2,5,0.25535518504605753,1.0729311908769705,24263717248
3,2,6,0.26137412436348845,1.1194833585777608,26781036928
3,2,8,0.2592091197853552,1.1086451337916028,31815676288
3,2,16,0.2599854702694635,1.1134807950614616,51954233728
3,3,2,0.034032341758506536,0.004540930649061664,16816848256
3,3,3,0.21138636679405406,0.8051281610518605,19334167936
3,3,4,0.2650228454047996,1.1560284551343807,21851487616
3,3,5,0.269467141951613,1.1923197774896415,24368807296
3,3,6,0.27608791249093045,1.2347054039266734,26886126976
3,3,8,0.27565966629376465,1.2272202650647102,31920766336
3,3,16,0.2764047060750114,1.2313846308384797,52059323776
3,4,2,0.03710586607227904,0.003412387388407898,16921938304
3,4,3,0.21451697505007117,0.8208565360141244,19439257984
3,4,4,0.2702844643529473,1.1794014085789621,21956577664
3,4,5,0.27584509903784266,1.2266779752864407,24473897344
3,4,6,0.2815846450851879,1.2572691461851668,26991217024
3,4,8,0.2833953779681455,1.26358895663258,32025856384
3,4,16,0.28439495440997603,1.2673159046347733,52164413824
3,5,2,0.03681903996096765,0.0037738532167631528,17027028352
3,5,3,0.21242035463087375,0.8106225186823535,19544348032
3,5,4,0.2685017116853036,1.1758572483909744,22061667712
3,5,5,0.27492709888820605,1.224376698596568,24578987392
3,5,6,0.28087712948026294,1.2613331346868197,27096307072
3,5,8,0.2823379329904332,1.261397607201865,32130946432
3,5,16,0.28386210564334813,1.2687618310593374,52269503872
3,6,2,0.03836227417524412,0.004072541652402495,17132118400
3,6,3,0.21427363142651198,0.8236695721105687,19649438080
3,6,4,0.27011229843322315,1.1856491875247703,22166757760
3,6,5,0.27460669541124244,1.2213518706277067,24684077440
3,6,6,0.2806354693035315,1.259917659736496,27201397120
3,6,8,0.2836407999143544,1.2663044193020636,32236036480
3,6,16,0.2843478419605554,1.2708232038912224,52374593920
3,8,2,0.03810343749151561,0.004033343246625629,17342298496
3,8,3,0.21370157121906094,0.8190620216054207,19859618176
3,8,4,0.26953744087505843,1.1808923852510342,22376937856
3,8,5,0.27484708512194606,1.225699556061882,24894257536
3,8,6,0.2809750487176385,1.260754669664881,27411577216
3,8,8,0.2836878203740132,1.2666116687606168,32446216576
3,8,16,0.2845303570314229,1.2737401966926578,52584774016
3,16,2,0.037998972341977605,0.004006166141518532,18183018880
3,16,3,0.2134457657549776,0.8184339490345491,20700338560
3,16,4,0.26930225234336214,1.180122405297351,23217658240
3,16,5,0.2749129889020977,1.226209348185821,25734977920
3,16,6,0.28071187087992566,1.2599670609394376,28252297600
3,16,8,0.2836549420341586,1.268297667693004,33286936960
3,16,16,0.28453632151027247,1.2752890935916952,53425494400
4,2,2,0.03554405202439207,0.0020596108397078843,17696295424
4,2,3,0.2007969629020746,0.7295886421565306,20213615104
4,2,4,0.25022377059788276,1.0417863722989882,22730934784
4,2,5,0.2552756428745414,1.089604655273231,25248254464
4,2,6,0.26173111696962725,1.1243699092711588,27765574144
4,2,8,0.26275616027627124,1.1321620826054106,32800213504
4,2,16,0.2626553112263047,1.1325403602869566,52938770944
4,3,2,0.03792766458441041,0.004751817549633914,17801385472
4,3,3,0.21101031865318656,0.8002507737119463,20318705152
4,3,4,0.26631072776290265,1.1676678353269516,22836024832
4,3,5,0.27016142253095093,1.201189986792182,25353344512
4,3,6,0.2764764962597095,1.2413131851952102,27870664192
4,3,8,0.2767816837784037,1.2364159506260926,32905303552
4,3,16,0.27811341803978223,1.246123613154921,53043860992
4,4,2,0.038647645311473806,0.0041302318948400855,17906475520
4,4,3,0.21139620273553503,0.8040498221201324,20423795200
4,4,4,0.2696296967613541,1.1818920290369954,22941114880
4,4,5,0.2743049084227653,1.2187256913286244,25458434560
4,4,6,0.2820665632442025,1.2693462940552265,27975754240
4,4,8,0.2837285042274702,1.26753571103515,33010393600
4,4,16,0.2840855765190654,1.2679401319860708,53148951040
